link,time1,time2,data,horario,rodada
https://www.youtube.com/watch?v=Q8peX8rkeD0,ARGÉLIA,ÁUSTRIA,27/06/2026,22:30,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=4z5dXHjJ6K8,ARGENTINA,JORDÂNIA,27/06/2026,22:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=x-ftF0Pm1oo,PORTUGAL,COLÔMBIA,27/06/2026,20:30,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=QHHK06-b7aI,RD CONGO,UZBEQUISTÃO,27/06/2026,20:30,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=mBZMegb2r90,CROÁCIA,GANA,27/06/2026,18:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=FDCM9HggRlM,INGLATERRA,PANAMÁ,27/06/2026,18:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=eeSdrrpKVlY,EGITO,IRÃ,27/06/2026,00:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=W9axGxeojYo,BÉLGICA,NOVA ZELÂNDIA,27/06/2026,00:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=efouH_0cBVs,URUGUAI,ESPANHA,26/06/2026,21:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=7kdzXhc90xw,CABO VERDE,ARÁBIA SAUDITA,26/06/2026,21:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=mAcTmVkI0Kw,FRANÇA,NORUEGA,26/06/2026,16:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=VFF2tuap6mo,SENEGAL,IRAQUE,26/06/2026,16:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=cAl4PErpiuE,ESTADOS UNIDOS,TURQUIA,25/06/2026,23:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=YUNznGUccxc,PARAGUAI,AUSTRÁLIA,25/06/2026,23:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=qCcrzzz3bVk,JAPÃO,SUÉCIA,25/06/2026,20:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=meWCRh7LE-0,TUNÍSIA,HOLANDA,25/06/2026,20:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=yiq5VPpo34U,COSTA DO MARFIM,CURAÇAO,25/06/2026,17:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=DeIPppohrnQ,ALEMANHA,EQUADOR,25/06/2026,17:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=cFu_iI4h1to,ÁFRICA DO SUL,COREIA DO SUL,24/06/2026,22:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=D0947hff-G0,REPÚBLICA TCHECA,MÉXICO,24/06/2026,22:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=dxYTTxhgVNU,BRASIL,ESCÓCIA,24/06/2026,19:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=Cy-JKocMCf8,HAITI,MARROCOS,24/06/2026,19:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=ioH5k4ss_tY,SUÍÇA,CANADÁ,24/06/2026,16:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=YAa0XEHZCys,BÓSNIA,CATAR,24/06/2026,16:00,3ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=WUvxr2xCpjQ,COLÔMBIA,RD CONGO,23/06/2026,23:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=o0PHBI9QAdY,PANAMÁ,CROÁCIA,23/06/2026,20:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=vTnBwT_hN5o,INGLATERRA,GANA,23/06/2026,17:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=pmWqrAV3PXo,PORTUGAL,UZBEQUISTÃO,23/06/2026,14:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=ptoJO9bn8T4,JORDÂNIA,ARGÉLIA,23/06/2026,00:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=dFPUO7Vdh6Q,NORUEGA,SENEGAL,22/06/2026,21:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=tvijPHlN9WE,FRANÇA,IRAQUE,22/06/2026,18:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=OweGZocHnjk,ARGENTINA,ÁUSTRIA,22/06/2026,14:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=nLFPUeA-Naw,NOVA ZELÂNDIA,EGITO,21/06/2026,22:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=1Z-J49TdQNs,URUGUAI,CABO VERDE,21/06/2026,19:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=lMtrJbAfEaY,BÉLGICA,IRÃ,21/06/2026,16:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=X3QQGOE2RA4,ESPANHA,ARÁBIA SAUDITA,21/06/2026,13:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=wEQfiiPmMSM,TUNÍSIA,JAPÃO,21/06/2026,01:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=Yemi7Q2f5MA,EQUADOR,CURAÇAO,20/06/2026,21:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=V3wVoI3itnE,ALEMANHA,COSTA DO MARFIM,20/06/2026,17:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=xN4B1527vDc,HOLANDA,SUÉCIA,20/06/2026,14:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=vHIqfIpEr7U,TURQUIA,PARAGUAI,20/06/2026,00:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=DUuWdi0r1RI,BRASIL,HAITI,19/06/2026,22:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=d1q2o990TZE,ESCÓCIA,MARROCOS,19/06/2026,19:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=_6cfUXA1UUw,ESTADOS UNIDOS,AUSTRÁLIA,19/06/2026,16:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=SVwg-Aiy2po,MÉXICO,COREIA DO SUL,18/06/2026,22:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=fOLiF5uK2og,CANADÁ,CATAR,18/06/2026,19:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=DL372r8XEDg,SUÍÇA,BÓSNIA,18/06/2026,16:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=61qIjGER86Q,REPÚBLICA TCHECA,ÁFRICA DO SUL,18/06/2026,13:00,2ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=BWsf2c4zKZs,UZBEQUISTÃO,COLÔMBIA,17/06/2026,23:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=t7XBWsD5p6A,GANA,PANAMÁ,17/06/2026,20:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=DaAFndjKuf8,INGLATERRA,CROÁCIA,17/06/2026,17:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=HpzKFDctbNw,PORTUGAL,RD CONGO,17/06/2026,14:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=r97R-p-TlNM,ÁUSTRIA,JORDÂNIA,17/06/2026,01:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=RhpNoBWVQGA,ARGENTINA,ARGÉLIA,16/06/2026,22:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=Dgvz5nHdttk,IRAQUE,NORUEGA,16/06/2026,19:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=m1vplAfSs_A,FRANÇA,SENEGAL,16/06/2026,16:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=vrY_cXwm--g,IRÃ,NOVA ZELÂNDIA,15/06/2026,22:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=Mh-iBLsiYDw,ARÁBIA SAUDITA,URUGUAI,15/06/2026,19:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=aclBHrhLQr4,BÉLGICA,EGITO,15/06/2026,16:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=EYStZQ5FsVk,ESPANHA,CABO VERDE,15/06/2026,13:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=o2wC007Jp-A,SUÉCIA,TUNÍSIA,14/06/2026,23:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=IFh8Nuuhgcc,COSTA DO MARFIM,EQUADOR,14/06/2026,20:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=6Ca_GzyVOs0,HOLANDA,JAPÃO,14/06/2026,17:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=byP1peOCkzI,ALEMANHA,CURAÇÃO,14/06/2026,14:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=8rr-857IbHA,AUSTRÁLIA,TURQUIA,14/06/2026,01:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=yBUg81qhrNo,HAITI,ESCÓCIA,13/06/2026,22:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=vC3fV_awcWE,BRASIL,MARROCOS,13/06/2026,19:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=ljah6d9m7Z0,CATAR,SUÍÇA,13/06/2026,16:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=7EFTDmwcleI,ESTADOS UNIDOS,PARAGUAI,12/06/2026,22:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=CRtjePKnGvA,CANADÁ,BÓSNIA,12/06/2026,16:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=LjEP9frJ2CE,COREIA DO SUL,REPÚBLICA TCHECA,11/06/2026,23:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=YCNysrewn7k,MÉXICO,ÁFRICA DO SUL,11/06/2026,16:00,1ª RODADA - FASE DE GRUPOS
https://www.youtube.com/watch?v=6_y7O2anlXU,ARGENTINA,ISLÂNDIA,09/06/2026,20:30,FASE DE GRUPOS
https://www.youtube.com/watch?v=iaVuw_wv3As,MARROCOS,NORUEGA,07/06/2026,15:00,FASE DE GRUPOS
https://www.youtube.com/watch?v=-Hi_eSrhB7g,ARGENTINA,HONDURAS,06/06/2026,20:00,FASE DE GRUPOS
